compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
Ni0.5La0.5O4,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,32,63.9976,2.64,1.92,6.08,56,54.472,140.468,5.84,13.76,16,24,0.005716,100,1.52
Ni0.5Ce0.5O5,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
Ni0.5Ce0.5O4,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,32,63.9976,2.64,1.92,6.08,56,54.472,140.468,5.84,13.76,16,24,0.005716,100,1.52
Ni0.5La0.5O6,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,48,95.9964,3.96,2.88,9.12,84,81.708,210.702,8.76,20.64,24,36,0.008574,100,1.52
Ni0.5Ce0.5O9,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Ni0.5Ce0.5O10,43,99.41,1.64,1.795,1.99,13.63,6.5895,14.5245,0.84,1.515,4.5,5,7.796,7.7,51,80,159.994,6.6,4.8,15.2,140,136.18,351.17,14.6,34.4,40,60,0.01429,100,1.52
Ni0.5La0.5O7,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Ni0.5La0.5O8,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,64,127.9952,5.28,3.84,12.16,112,108.944,280.936,11.68,27.52,32,48,0.011432,100,1.52
Ni0.5La0.5O9,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Ni0.5La0.5O5,42.5,98.80275,1.655,1.875,2.015,14.545,6.6085,14.6145,0.83,1.505,4.5,5,7.5245,7.8,52,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
Mn0.5Rh0.5O,35,78.92175,1.405,1.67,1.96,7.85,7.4465,17.555,0.5685,1.915,6.5,8,9.96,11.81,78.9,8,15.9994,0.66,0.48,1.52,14,13.618,35.117,1.46,3.44,4,6,0.001429,100,1.52
Ni0.5Pt0.5S2,53,126.895,1.3,1.63,1.86,7.845,8.33,18.3645,1.644,2.095,8.5,10,15.1765,11.7,81.5,32,64.12,2.1,1.76,3.6,31,20.72,46.68,4.14,5.16,8,12,3.92,100,1.52
Mn0.2Os0.8O2,65.8,163.1476,1.43,1.802,2.122,8.272,8.4548,16.68,0.88,2.07,5.8,7.8,19.566,9.724,71.96,16,31.9988,1.32,0.96,3.04,28,27.236,70.234,2.92,6.88,8,12,0.002858,100,1.52
Mn0.5Ir0.5O2,51,123.579,1.4,1.705,1.995,7.97,8.277,16.83,0.785,1.875,6,8,15.015,10.81,78.9,16,31.9988,1.32,0.96,3.04,28,27.236,70.234,2.92,6.88,8,12,0.002858,100,1.52
Cr0.5Cd0.5O,36,82.198,1.415,1.635,1.735,10.165,7.8805,16.548,0.333,1.675,7,9,7.92,10.95,95.5,8,15.9994,0.66,0.48,1.52,14,13.618,35.117,1.46,3.44,4,6,0.001429,100,1.52
Mn0.4Ru1.6O7,80.4,183.6872,2.892,3.492,4.1,16.24,14.7512,33.696,1.68,4.14,13.2,15.6,22.78,22.648,84.72,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Mn0.4Ru1.6O9,80.4,183.6872,2.892,3.492,4.1,16.24,14.7512,33.696,1.68,4.14,13.2,15.6,22.78,22.648,84.72,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Mn0.4Ru1.6O5,80.4,183.6872,2.892,3.492,4.1,16.24,14.7512,33.696,1.68,4.14,13.2,15.6,22.78,22.648,84.72,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
NiCuO9,57,122.246,2.56,2.94,3.03,13.69,15.367,38.461,2.387,3.81,18,21,17.863,73,491,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Ni0.2Rh1.8O7,86.6,196.9699,2.804,3.412,3.836,16.258,14.9542,36.0878,2.2786,4.486,16,18.2,24.1906,44.2,288.2,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Ni0.4Rh1.6O7,83.2,188.1288,2.768,3.364,3.772,15.916,14.9904,36.1156,2.2832,4.412,16,18.4,23.4812,42.4,276.4,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Co0.2Cu1.8O5,57.6,126.16944,2.628,2.914,2.904,14.12,15.4848,39.9416,2.3406,3.796,19.4,21.6,17.908,109.6,740,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
NiRhO7,73,161.6055,2.66,3.22,3.58,14.89,15.099,36.199,2.297,4.19,16,19,21.353,37,241,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Ni0.2Rh1.8O9,86.6,196.9699,2.804,3.412,3.836,16.258,14.9542,36.0878,2.2786,4.486,16,18.2,24.1906,44.2,288.2,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Ni0.4Rh1.6O9,83.2,188.1288,2.768,3.364,3.772,15.916,14.9904,36.1156,2.2832,4.412,16,18.4,23.4812,42.4,276.4,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
NiRhO9,73,161.6055,2.66,3.22,3.58,14.89,15.099,36.199,2.297,4.19,16,19,21.353,37,241,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Cr0.4Ag1.6O7,84.8,193.3872,2.876,3.304,3.508,19.372,14.8284,40.7952,2.3496,3.752,17.6,20,19.66,102.36,725.6,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Cr0.4Ag1.6O5,84.8,193.3872,2.876,3.304,3.508,19.372,14.8284,40.7952,2.3496,3.752,17.6,20,19.66,102.36,725.6,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
Ni2O5,56,117.4,2.48,2.98,3.26,13.18,15.28,36.338,2.32,3.82,16,20,17.806,28,182,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
Rh2O5,90,205.811,2.84,3.46,3.9,16.6,14.918,36.06,2.274,4.56,16,18,24.9,46,300,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
Ni2O7,56,117.4,2.48,2.98,3.26,13.18,15.28,36.338,2.32,3.82,16,20,17.806,28,182,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Ni2O9,56,117.4,2.48,2.98,3.26,13.18,15.28,36.338,2.32,3.82,16,20,17.806,28,182,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Co0.4Ag1.6O9,86,196.16208,2.824,3.248,3.52,19.16,15.274,41.152,2.3472,3.84,18.8,21.2,20.344,106,728,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.52
Co0.2Cu1.8O7,57.6,126.16944,2.628,2.914,2.904,14.12,15.4848,39.9416,2.3406,3.796,19.4,21.6,17.908,109.6,740,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.52
Co0.4Ag1.6O5,86,196.16208,2.824,3.248,3.52,19.16,15.274,41.152,2.3472,3.84,18.8,21.2,20.344,106,728,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.52
