,compound
13126,Cr1.4Au5.6O8
13127,Cr3.5Au3.5O8
13128,Cr0.7Au6.3O9
13129,Cr1.4Au5.6O9
13130,Cr3.5Au3.5O9
13131,Cr0.7Au6.3O10
13132,Cr1.4Au5.6O10
13133,Cr3.5Au3.5O10
13134,Cr0.8Au7.2O9
13135,Cr1.6Au6.4O9
13136,Cr4.0Au4.0O9
13137,Cr0.9Au8.1O10
13138,Cr1.8Au7.2O10
13139,Cr4.5Au4.5O10
13140,Mn0.1Au0.9O
13141,Mn0.2Au0.8O
13142,Mn0.5Au0.5O
13143,Mn0.1Au0.9O2
13144,Mn0.2Au0.8O2
13145,Mn0.5Au0.5O2
13146,Mn0.1Au0.9O3
13147,Mn0.2Au0.8O3
13148,Mn0.5Au0.5O3
13149,Mn0.1Au0.9O4
13150,Mn0.2Au0.8O4
13151,Mn0.5Au0.5O4
13152,Mn0.1Au0.9O5
13153,Mn0.2Au0.8O5
13154,Mn0.5Au0.5O5
13155,Mn0.1Au0.9O6
13156,Mn0.2Au0.8O6
13157,Mn0.5Au0.5O6
13158,Mn0.1Au0.9O7
13159,Mn0.2Au0.8O7
13160,Mn0.5Au0.5O7
13161,Mn0.1Au0.9O8
13162,Mn0.2Au0.8O8
13163,Mn0.5Au0.5O8
13164,Mn0.1Au0.9O9
13165,Mn0.2Au0.8O9
13166,Mn0.5Au0.5O9
13167,Mn0.1Au0.9O10
13168,Mn0.2Au0.8O10
13169,Mn0.5Au0.5O10
13170,Mn0.2Au1.8O3
13171,Mn0.4Au1.6O3
13172,MnAuO3
13173,Mn0.2Au1.8O5
13174,Mn0.4Au1.6O5
13175,MnAuO5
13176,Mn0.2Au1.8O7
13177,Mn0.4Au1.6O7
13178,MnAuO7
13179,Mn0.2Au1.8O9
13180,Mn0.4Au1.6O9
13181,MnAuO9
13182,Mn0.3Au2.7O4
13183,Mn0.6Au2.4O4
13184,Mn1.5Au1.5O4
13185,Mn0.3Au2.7O5
13186,Mn0.6Au2.4O5
13187,Mn1.5Au1.5O5
13188,Mn0.3Au2.7O7
13189,Mn0.6Au2.4O7
13190,Mn1.5Au1.5O7
13191,Mn0.3Au2.7O8
13192,Mn0.6Au2.4O8
13193,Mn1.5Au1.5O8
13194,Mn0.3Au2.7O10
13195,Mn0.6Au2.4O10
13196,Mn1.5Au1.5O10
13197,Mn0.4Au3.6O5
13198,Mn0.8Au3.2O5
13199,Mn2.0Au2.0O5
13200,Mn0.4Au3.6O7
13201,Mn0.8Au3.2O7
13202,Mn2.0Au2.0O7
13203,Mn0.4Au3.6O9
13204,Mn0.8Au3.2O9
13205,Mn2.0Au2.0O9
13206,Mn0.5Au4.5O6
13207,MnAu4.0O6
13208,Mn2.5Au2.5O6
13209,Mn0.5Au4.5O7
13210,MnAu4.0O7
13211,Mn2.5Au2.5O7
13212,Mn0.5Au4.5O8
13213,MnAu4.0O8
13214,Mn2.5Au2.5O8
13215,Mn0.5Au4.5O9
13216,MnAu4.0O9
13217,Mn2.5Au2.5O9
13218,Mn0.6Au5.4O7
13219,Mn1.2Au4.8O7
13220,Mn3.0Au3.0O7
13221,Mn0.7Au6.3O8
13222,Mn1.4Au5.6O8
13223,Mn3.5Au3.5O8
13224,Mn0.7Au6.3O9
13225,Mn1.4Au5.6O9
13226,Mn3.5Au3.5O9
13227,Mn0.7Au6.3O10
13228,Mn1.4Au5.6O10
13229,Mn3.5Au3.5O10
13230,Mn0.8Au7.2O9
13231,Mn1.6Au6.4O9
13232,Mn4.0Au4.0O9
13233,Mn0.9Au8.1O10
13234,Mn1.8Au7.2O10
13235,Mn4.5Au4.5O10
13236,Fe0.1Au0.9O
13237,Fe0.2Au0.8O
13238,Fe0.5Au0.5O
13239,Fe0.1Au0.9O2
13240,Fe0.2Au0.8O2
13241,Fe0.5Au0.5O2
13242,Fe0.1Au0.9O3
13243,Fe0.2Au0.8O3
13244,Fe0.5Au0.5O3
13245,Fe0.1Au0.9O4
13246,Fe0.2Au0.8O4
13247,Fe0.5Au0.5O4
13248,Fe0.1Au0.9O5
13249,Fe0.2Au0.8O5
13250,Fe0.5Au0.5O5
13251,Fe0.1Au0.9O6
13252,Fe0.2Au0.8O6
13253,Fe0.5Au0.5O6
13254,Fe0.1Au0.9O7
13255,Fe0.2Au0.8O7
13256,Fe0.5Au0.5O7
13257,Fe0.1Au0.9O8
13258,Fe0.2Au0.8O8
13259,Fe0.5Au0.5O8
13260,Fe0.1Au0.9O9
13261,Fe0.2Au0.8O9
13262,Fe0.5Au0.5O9
13263,Fe0.1Au0.9O10
13264,Fe0.2Au0.8O10
13265,Fe0.5Au0.5O10
13266,Fe0.2Au1.8O3
13267,Fe0.4Au1.6O3
13268,FeAuO3
13269,Fe0.2Au1.8O5
13270,Fe0.4Au1.6O5
13271,FeAuO5
13272,Fe0.2Au1.8O7
13273,Fe0.4Au1.6O7
13274,FeAuO7
13275,Fe0.2Au1.8O9
13276,Fe0.4Au1.6O9
13277,FeAuO9
13278,Fe0.3Au2.7O4
13279,Fe0.6Au2.4O4
13280,Fe1.5Au1.5O4
13281,Fe0.3Au2.7O5
13282,Fe0.6Au2.4O5
13283,Fe1.5Au1.5O5
13284,Fe0.3Au2.7O7
13285,Fe0.6Au2.4O7
13286,Fe1.5Au1.5O7
13287,Fe0.3Au2.7O8
13288,Fe0.6Au2.4O8
13289,Fe1.5Au1.5O8
13290,Fe0.3Au2.7O10
13291,Fe0.6Au2.4O10
13292,Fe1.5Au1.5O10
13293,Fe0.4Au3.6O5
13294,Fe0.8Au3.2O5
13295,Fe2.0Au2.0O5
13296,Fe0.4Au3.6O7
13297,Fe0.8Au3.2O7
13298,Fe2.0Au2.0O7
13299,Fe0.4Au3.6O9
13300,Fe0.8Au3.2O9
13301,Fe2.0Au2.0O9
13302,Fe0.5Au4.5O6
13303,FeAu4.0O6
13304,Fe2.5Au2.5O6
13305,Fe0.5Au4.5O7
13306,FeAu4.0O7
13307,Fe2.5Au2.5O7
13308,Fe0.5Au4.5O8
13309,FeAu4.0O8
13310,Fe2.5Au2.5O8
13311,Fe0.5Au4.5O9
13312,FeAu4.0O9
13313,Fe2.5Au2.5O9
13314,Fe0.6Au5.4O7
13315,Fe1.2Au4.8O7
13316,Fe3.0Au3.0O7
13317,Fe0.7Au6.3O8
13318,Fe1.4Au5.6O8
13319,Fe3.5Au3.5O8
13320,Fe0.7Au6.3O9
13321,Fe1.4Au5.6O9
13322,Fe3.5Au3.5O9
13323,Fe0.7Au6.3O10
13324,Fe1.4Au5.6O10
13325,Fe3.5Au3.5O10
13326,Fe0.8Au7.2O9
13327,Fe1.6Au6.4O9
13328,Fe4.0Au4.0O9
13329,Fe0.9Au8.1O10
13330,Fe1.8Au7.2O10
13331,Fe4.5Au4.5O10
13332,Co0.1Au0.9O
13333,Co0.2Au0.8O
13334,Co0.5Au0.5O
13335,Co0.1Au0.9O2
13336,Co0.2Au0.8O2
13337,Co0.5Au0.5O2
13338,Co0.1Au0.9O3
13339,Co0.2Au0.8O3
13340,Co0.5Au0.5O3
13341,Co0.1Au0.9O4
13342,Co0.2Au0.8O4
13343,Co0.5Au0.5O4
13344,Co0.1Au0.9O5
13345,Co0.2Au0.8O5
13346,Co0.5Au0.5O5
13347,Co0.1Au0.9O6
13348,Co0.2Au0.8O6
13349,Co0.5Au0.5O6
13350,Co0.1Au0.9O7
13351,Co0.2Au0.8O7
13352,Co0.5Au0.5O7
13353,Co0.1Au0.9O8
13354,Co0.2Au0.8O8
13355,Co0.5Au0.5O8
13356,Co0.1Au0.9O9
13357,Co0.2Au0.8O9
13358,Co0.5Au0.5O9
13359,Co0.1Au0.9O10
13360,Co0.2Au0.8O10
13361,Co0.5Au0.5O10
13362,Co0.2Au1.8O3
13363,Co0.4Au1.6O3
13364,CoAuO3
13365,Co0.2Au1.8O5
13366,Co0.4Au1.6O5
13367,CoAuO5
13368,Co0.2Au1.8O7
13369,Co0.4Au1.6O7
13370,CoAuO7
13371,Co0.2Au1.8O9
13372,Co0.4Au1.6O9
13373,CoAuO9
13374,Co0.3Au2.7O4
13375,Co0.6Au2.4O4
13376,Co1.5Au1.5O4
13377,Co0.3Au2.7O5
13378,Co0.6Au2.4O5
13379,Co1.5Au1.5O5
13380,Co0.3Au2.7O7
13381,Co0.6Au2.4O7
13382,Co1.5Au1.5O7
13383,Co0.3Au2.7O8
13384,Co0.6Au2.4O8
13385,Co1.5Au1.5O8
13386,Co0.3Au2.7O10
13387,Co0.6Au2.4O10
13388,Co1.5Au1.5O10
13389,Co0.4Au3.6O5
13390,Co0.8Au3.2O5
13391,Co2.0Au2.0O5
13392,Co0.4Au3.6O7
13393,Co0.8Au3.2O7
13394,Co2.0Au2.0O7
13395,Co0.4Au3.6O9
13396,Co0.8Au3.2O9
13397,Co2.0Au2.0O9
13398,Co0.5Au4.5O6
13399,CoAu4.0O6
13400,Co2.5Au2.5O6
13401,Co0.5Au4.5O7
13402,CoAu4.0O7
13403,Co2.5Au2.5O7
13404,Co0.5Au4.5O8
13405,CoAu4.0O8
13406,Co2.5Au2.5O8
13407,Co0.5Au4.5O9
13408,CoAu4.0O9
13409,Co2.5Au2.5O9
13410,Co0.6Au5.4O7
13411,Co1.2Au4.8O7
13412,Co3.0Au3.0O7
13413,Co0.7Au6.3O8
13414,Co1.4Au5.6O8
13415,Co3.5Au3.5O8
13416,Co0.7Au6.3O9
13417,Co1.4Au5.6O9
13418,Co3.5Au3.5O9
13419,Co0.7Au6.3O10
13420,Co1.4Au5.6O10
13421,Co3.5Au3.5O10
13422,Co0.8Au7.2O9
13423,Co1.6Au6.4O9
13424,Co4.0Au4.0O9
13425,Co0.9Au8.1O10
13426,Co1.8Au7.2O10
13427,Co4.5Au4.5O10
13428,Ni0.1Au0.9O
13429,Ni0.2Au0.8O
13430,Ni0.5Au0.5O
13431,Ni0.1Au0.9O2
13432,Ni0.2Au0.8O2
13433,Ni0.5Au0.5O2
13434,Ni0.1Au0.9O3
13435,Ni0.2Au0.8O3
13436,Ni0.5Au0.5O3
13437,Ni0.1Au0.9O4
13438,Ni0.2Au0.8O4
13439,Ni0.5Au0.5O4
13440,Ni0.1Au0.9O5
13441,Ni0.2Au0.8O5
13442,Ni0.5Au0.5O5
13443,Ni0.1Au0.9O6
13444,Ni0.2Au0.8O6
13445,Ni0.5Au0.5O6
13446,Ni0.1Au0.9O7
13447,Ni0.2Au0.8O7
13448,Ni0.5Au0.5O7
13449,Ni0.1Au0.9O8
13450,Ni0.2Au0.8O8
13451,Ni0.5Au0.5O8
13452,Ni0.1Au0.9O9
13453,Ni0.2Au0.8O9
13454,Ni0.5Au0.5O9
13455,Ni0.1Au0.9O10
13456,Ni0.2Au0.8O10
13457,Ni0.5Au0.5O10
13458,Ni0.2Au1.8O3
13459,Ni0.4Au1.6O3
13460,NiAuO3
13461,Ni0.2Au1.8O5
13462,Ni0.4Au1.6O5
13463,NiAuO5
13464,Ni0.2Au1.8O7
13465,Ni0.4Au1.6O7
13466,NiAuO7
13467,Ni0.2Au1.8O9
13468,Ni0.4Au1.6O9
13469,NiAuO9
13470,Ni0.3Au2.7O4
13471,Ni0.6Au2.4O4
13472,Ni1.5Au1.5O4
13473,Ni0.3Au2.7O5
13474,Ni0.6Au2.4O5
13475,Ni1.5Au1.5O5
13476,Ni0.3Au2.7O7
13477,Ni0.6Au2.4O7
13478,Ni1.5Au1.5O7
13479,Ni0.3Au2.7O8
13480,Ni0.6Au2.4O8
13481,Ni1.5Au1.5O8
13482,Ni0.3Au2.7O10
13483,Ni0.6Au2.4O10
13484,Ni1.5Au1.5O10
13485,Ni0.4Au3.6O5
13486,Ni0.8Au3.2O5
13487,Ni2.0Au2.0O5
13488,Ni0.4Au3.6O7
13489,Ni0.8Au3.2O7
13490,Ni2.0Au2.0O7
13491,Ni0.4Au3.6O9
13492,Ni0.8Au3.2O9
13493,Ni2.0Au2.0O9
13494,Ni0.5Au4.5O6
13495,NiAu4.0O6
13496,Ni2.5Au2.5O6
13497,Ni0.5Au4.5O7
13498,NiAu4.0O7
13499,Ni2.5Au2.5O7
13500,Ni0.5Au4.5O8
13501,NiAu4.0O8
13502,Ni2.5Au2.5O8
13503,Ni0.5Au4.5O9
13504,NiAu4.0O9
13505,Ni2.5Au2.5O9
13506,Ni0.6Au5.4O7
13507,Ni1.2Au4.8O7
13508,Ni3.0Au3.0O7
13509,Ni0.7Au6.3O8
13510,Ni1.4Au5.6O8
13511,Ni3.5Au3.5O8
13512,Ni0.7Au6.3O9
13513,Ni1.4Au5.6O9
13514,Ni3.5Au3.5O9
13515,Ni0.7Au6.3O10
13516,Ni1.4Au5.6O10
13517,Ni3.5Au3.5O10
13518,Ni0.8Au7.2O9
13519,Ni1.6Au6.4O9
13520,Ni4.0Au4.0O9
13521,Ni0.9Au8.1O10
13522,Ni1.8Au7.2O10
13523,Ni4.5Au4.5O10
13524,Cr0.1La0.9O
13525,Cr0.2La0.8O
13526,Cr0.5La0.5O
13527,Cr0.1La0.9O2
13528,Cr0.2La0.8O2
13529,Cr0.5La0.5O2
13530,Cr0.1La0.9O3
13531,Cr0.2La0.8O3
13532,Cr0.5La0.5O3
13533,Cr0.1La0.9O4
13534,Cr0.2La0.8O4
13535,Cr0.5La0.5O4
13536,Cr0.1La0.9O5
13537,Cr0.2La0.8O5
13538,Cr0.5La0.5O5
13539,Cr0.1La0.9O6
13540,Cr0.2La0.8O6
13541,Cr0.5La0.5O6
13542,Cr0.1La0.9O7
13543,Cr0.2La0.8O7
13544,Cr0.5La0.5O7
13545,Cr0.1La0.9O8
13546,Cr0.2La0.8O8
13547,Cr0.5La0.5O8
13548,Cr0.1La0.9O9
13549,Cr0.2La0.8O9
13550,Cr0.5La0.5O9
13551,Cr0.1La0.9O10
13552,Cr0.2La0.8O10
13553,Cr0.5La0.5O10
13554,Cr0.2La1.8O3
13555,Cr0.4La1.6O3
13556,CrLaO3
13557,Cr0.2La1.8O5
13558,Cr0.4La1.6O5
13559,CrLaO5
13560,Cr0.2La1.8O7
13561,Cr0.4La1.6O7
13562,CrLaO7
13563,Cr0.2La1.8O9
13564,Cr0.4La1.6O9
13565,CrLaO9
13566,Cr0.3La2.7O4
13567,Cr0.6La2.4O4
13568,Cr1.5La1.5O4
13569,Cr0.3La2.7O5
13570,Cr0.6La2.4O5
13571,Cr1.5La1.5O5
13572,Cr0.3La2.7O7
13573,Cr0.6La2.4O7
13574,Cr1.5La1.5O7
13575,Cr0.3La2.7O8
13576,Cr0.6La2.4O8
13577,Cr1.5La1.5O8
13578,Cr0.3La2.7O10
13579,Cr0.6La2.4O10
13580,Cr1.5La1.5O10
13581,Cr0.4La3.6O5
13582,Cr0.8La3.2O5
13583,Cr2.0La2.0O5
13584,Cr0.4La3.6O7
13585,Cr0.8La3.2O7
13586,Cr2.0La2.0O7
13587,Cr0.4La3.6O9
13588,Cr0.8La3.2O9
13589,Cr2.0La2.0O9
13590,Cr0.5La4.5O6
13591,CrLa4.0O6
13592,Cr2.5La2.5O6
13593,Cr0.5La4.5O7
13594,CrLa4.0O7
13595,Cr2.5La2.5O7
13596,Cr0.5La4.5O8
13597,CrLa4.0O8
13598,Cr2.5La2.5O8
13599,Cr0.5La4.5O9
13600,CrLa4.0O9
13601,Cr2.5La2.5O9
13602,Cr0.6La5.4O7
13603,Cr1.2La4.8O7
13604,Cr3.0La3.0O7
13605,Cr0.7La6.3O8
13606,Cr1.4La5.6O8
13607,Cr3.5La3.5O8
13608,Cr0.7La6.3O9
13609,Cr1.4La5.6O9
13610,Cr3.5La3.5O9
13611,Cr0.7La6.3O10
13612,Cr1.4La5.6O10
13613,Cr3.5La3.5O10
13614,Cr0.8La7.2O9
13615,Cr1.6La6.4O9
13616,Cr4.0La4.0O9
13617,Cr0.9La8.1O10
13618,Cr1.8La7.2O10
13619,Cr4.5La4.5O10
13620,Mn0.1La0.9O
13621,Mn0.2La0.8O
13622,Mn0.5La0.5O
13623,Mn0.1La0.9O2
13624,Mn0.2La0.8O2
13625,Mn0.5La0.5O2
13626,Mn0.1La0.9O3
13627,Mn0.2La0.8O3
13628,Mn0.5La0.5O3
13629,Mn0.1La0.9O4
13630,Mn0.2La0.8O4
13631,Mn0.5La0.5O4
13632,Mn0.1La0.9O5
13633,Mn0.2La0.8O5
13634,Mn0.5La0.5O5
13635,Mn0.1La0.9O6
13636,Mn0.2La0.8O6
13637,Mn0.5La0.5O6
13638,Mn0.1La0.9O7
13639,Mn0.2La0.8O7
13640,Mn0.5La0.5O7
13641,Mn0.1La0.9O8
13642,Mn0.2La0.8O8
13643,Mn0.5La0.5O8
13644,Mn0.1La0.9O9
13645,Mn0.2La0.8O9
13646,Mn0.5La0.5O9
13647,Mn0.1La0.9O10
13648,Mn0.2La0.8O10
13649,Mn0.5La0.5O10
13650,Mn0.2La1.8O3
13651,Mn0.4La1.6O3
13652,MnLaO3
13653,Mn0.2La1.8O5
13654,Mn0.4La1.6O5
13655,MnLaO5
13656,Mn0.2La1.8O7
13657,Mn0.4La1.6O7
13658,MnLaO7
13659,Mn0.2La1.8O9
13660,Mn0.4La1.6O9
13661,MnLaO9
13662,Mn0.3La2.7O4
13663,Mn0.6La2.4O4
13664,Mn1.5La1.5O4
13665,Mn0.3La2.7O5
13666,Mn0.6La2.4O5
13667,Mn1.5La1.5O5
13668,Mn0.3La2.7O7
13669,Mn0.6La2.4O7
13670,Mn1.5La1.5O7
13671,Mn0.3La2.7O8
13672,Mn0.6La2.4O8
13673,Mn1.5La1.5O8
13674,Mn0.3La2.7O10
13675,Mn0.6La2.4O10
13676,Mn1.5La1.5O10
13677,Mn0.4La3.6O5
13678,Mn0.8La3.2O5
13679,Mn2.0La2.0O5
13680,Mn0.4La3.6O7
13681,Mn0.8La3.2O7
13682,Mn2.0La2.0O7
13683,Mn0.4La3.6O9
13684,Mn0.8La3.2O9
13685,Mn2.0La2.0O9
13686,Mn0.5La4.5O6
13687,MnLa4.0O6
13688,Mn2.5La2.5O6
13689,Mn0.5La4.5O7
13690,MnLa4.0O7
13691,Mn2.5La2.5O7
13692,Mn0.5La4.5O8
13693,MnLa4.0O8
13694,Mn2.5La2.5O8
13695,Mn0.5La4.5O9
13696,MnLa4.0O9
13697,Mn2.5La2.5O9
13698,Mn0.6La5.4O7
13699,Mn1.2La4.8O7
13700,Mn3.0La3.0O7
13701,Mn0.7La6.3O8
13702,Mn1.4La5.6O8
13703,Mn3.5La3.5O8
13704,Mn0.7La6.3O9
13705,Mn1.4La5.6O9
13706,Mn3.5La3.5O9
13707,Mn0.7La6.3O10
13708,Mn1.4La5.6O10
13709,Mn3.5La3.5O10
13710,Mn0.8La7.2O9
13711,Mn1.6La6.4O9
13712,Mn4.0La4.0O9
13713,Mn0.9La8.1O10
13714,Mn1.8La7.2O10
13715,Mn4.5La4.5O10
13716,Fe0.1La0.9O
13717,Fe0.2La0.8O
13718,Fe0.5La0.5O
13719,Fe0.1La0.9O2
13720,Fe0.2La0.8O2
13721,Fe0.5La0.5O2
13722,Fe0.1La0.9O3
13723,Fe0.2La0.8O3
13724,Fe0.5La0.5O3
13725,Fe0.1La0.9O4
13726,Fe0.2La0.8O4
13727,Fe0.5La0.5O4
13728,Fe0.1La0.9O5
13729,Fe0.2La0.8O5
13730,Fe0.5La0.5O5
13731,Fe0.1La0.9O6
13732,Fe0.2La0.8O6
13733,Fe0.5La0.5O6
13734,Fe0.1La0.9O7
13735,Fe0.2La0.8O7
13736,Fe0.5La0.5O7
13737,Fe0.1La0.9O8
13738,Fe0.2La0.8O8
13739,Fe0.5La0.5O8
13740,Fe0.1La0.9O9
13741,Fe0.2La0.8O9
13742,Fe0.5La0.5O9
13743,Fe0.1La0.9O10
13744,Fe0.2La0.8O10
13745,Fe0.5La0.5O10
13746,Fe0.2La1.8O3
13747,Fe0.4La1.6O3
13748,FeLaO3
13749,Fe0.2La1.8O5
13750,Fe0.4La1.6O5
13751,FeLaO5
13752,Fe0.2La1.8O7
13753,Fe0.4La1.6O7
13754,FeLaO7
13755,Fe0.2La1.8O9
13756,Fe0.4La1.6O9
13757,FeLaO9
13758,Fe0.3La2.7O4
13759,Fe0.6La2.4O4
13760,Fe1.5La1.5O4
13761,Fe0.3La2.7O5
13762,Fe0.6La2.4O5
13763,Fe1.5La1.5O5
13764,Fe0.3La2.7O7
13765,Fe0.6La2.4O7
13766,Fe1.5La1.5O7
13767,Fe0.3La2.7O8
13768,Fe0.6La2.4O8
13769,Fe1.5La1.5O8
13770,Fe0.3La2.7O10
13771,Fe0.6La2.4O10
13772,Fe1.5La1.5O10
13773,Fe0.4La3.6O5
13774,Fe0.8La3.2O5
13775,Fe2.0La2.0O5
13776,Fe0.4La3.6O7
13777,Fe0.8La3.2O7
13778,Fe2.0La2.0O7
13779,Fe0.4La3.6O9
13780,Fe0.8La3.2O9
13781,Fe2.0La2.0O9
13782,Fe0.5La4.5O6
13783,FeLa4.0O6
13784,Fe2.5La2.5O6
13785,Fe0.5La4.5O7
13786,FeLa4.0O7
13787,Fe2.5La2.5O7
13788,Fe0.5La4.5O8
13789,FeLa4.0O8
13790,Fe2.5La2.5O8
13791,Fe0.5La4.5O9
13792,FeLa4.0O9
13793,Fe2.5La2.5O9
13794,Fe0.6La5.4O7
13795,Fe1.2La4.8O7
13796,Fe3.0La3.0O7
13797,Fe0.7La6.3O8
13798,Fe1.4La5.6O8
13799,Fe3.5La3.5O8
13800,Fe0.7La6.3O9
13801,Fe1.4La5.6O9
13802,Fe3.5La3.5O9
13803,Fe0.7La6.3O10
13804,Fe1.4La5.6O10
13805,Fe3.5La3.5O10
13806,Fe0.8La7.2O9
13807,Fe1.6La6.4O9
13808,Fe4.0La4.0O9
13809,Fe0.9La8.1O10
13810,Fe1.8La7.2O10
13811,Fe4.5La4.5O10
13812,Co0.1La0.9O
13813,Co0.2La0.8O
13814,Co0.5La0.5O
13815,Co0.1La0.9O2
13816,Co0.2La0.8O2
13817,Co0.5La0.5O2
13818,Co0.1La0.9O3
13819,Co0.2La0.8O3
13820,Co0.5La0.5O3
13821,Co0.1La0.9O4
13822,Co0.2La0.8O4
13823,Co0.5La0.5O4
13824,Co0.1La0.9O5
13825,Co0.2La0.8O5
13826,Co0.5La0.5O5
13827,Co0.1La0.9O6
13828,Co0.2La0.8O6
13829,Co0.5La0.5O6
13830,Co0.1La0.9O7
13831,Co0.2La0.8O7
13832,Co0.5La0.5O7
13833,Co0.1La0.9O8
13834,Co0.2La0.8O8
13835,Co0.5La0.5O8
13836,Co0.1La0.9O9
13837,Co0.2La0.8O9
13838,Co0.5La0.5O9
13839,Co0.1La0.9O10
13840,Co0.2La0.8O10
13841,Co0.5La0.5O10
13842,Co0.2La1.8O3
13843,Co0.4La1.6O3
13844,CoLaO3
13845,Co0.2La1.8O5
13846,Co0.4La1.6O5
13847,CoLaO5
13848,Co0.2La1.8O7
13849,Co0.4La1.6O7
13850,CoLaO7
13851,Co0.2La1.8O9
13852,Co0.4La1.6O9
13853,CoLaO9
13854,Co0.3La2.7O4
13855,Co0.6La2.4O4
13856,Co1.5La1.5O4
13857,Co0.3La2.7O5
13858,Co0.6La2.4O5
13859,Co1.5La1.5O5
13860,Co0.3La2.7O7
13861,Co0.6La2.4O7
13862,Co1.5La1.5O7
13863,Co0.3La2.7O8
13864,Co0.6La2.4O8
13865,Co1.5La1.5O8
13866,Co0.3La2.7O10
13867,Co0.6La2.4O10
13868,Co1.5La1.5O10
13869,Co0.4La3.6O5
13870,Co0.8La3.2O5
13871,Co2.0La2.0O5
13872,Co0.4La3.6O7
13873,Co0.8La3.2O7
13874,Co2.0La2.0O7
13875,Co0.4La3.6O9
13876,Co0.8La3.2O9
13877,Co2.0La2.0O9
13878,Co0.5La4.5O6
13879,CoLa4.0O6
13880,Co2.5La2.5O6
13881,Co0.5La4.5O7
13882,CoLa4.0O7
13883,Co2.5La2.5O7
13884,Co0.5La4.5O8
13885,CoLa4.0O8
13886,Co2.5La2.5O8
13887,Co0.5La4.5O9
13888,CoLa4.0O9
13889,Co2.5La2.5O9
13890,Co0.6La5.4O7
13891,Co1.2La4.8O7
13892,Co3.0La3.0O7
13893,Co0.7La6.3O8
13894,Co1.4La5.6O8
13895,Co3.5La3.5O8
13896,Co0.7La6.3O9
13897,Co1.4La5.6O9
13898,Co3.5La3.5O9
13899,Co0.7La6.3O10
13900,Co1.4La5.6O10
13901,Co3.5La3.5O10
13902,Co0.8La7.2O9
13903,Co1.6La6.4O9
13904,Co4.0La4.0O9
13905,Co0.9La8.1O10
13906,Co1.8La7.2O10
13907,Co4.5La4.5O10
13908,Ni0.1La0.9O
13909,Ni0.2La0.8O
13910,Ni0.5La0.5O
13911,Ni0.1La0.9O2
13912,Ni0.2La0.8O2
13913,Ni0.5La0.5O2
13914,Ni0.1La0.9O3
13915,Ni0.2La0.8O3
13916,Ni0.5La0.5O3
13917,Ni0.1La0.9O4
13918,Ni0.2La0.8O4
13919,Ni0.5La0.5O4
13920,Ni0.1La0.9O5
13921,Ni0.2La0.8O5
13922,Ni0.5La0.5O5
13923,Ni0.1La0.9O6
13924,Ni0.2La0.8O6
13925,Ni0.5La0.5O6
13926,Ni0.1La0.9O7
13927,Ni0.2La0.8O7
13928,Ni0.5La0.5O7
13929,Ni0.1La0.9O8
13930,Ni0.2La0.8O8
13931,Ni0.5La0.5O8
13932,Ni0.1La0.9O9
13933,Ni0.2La0.8O9
13934,Ni0.5La0.5O9
13935,Ni0.1La0.9O10
13936,Ni0.2La0.8O10
13937,Ni0.5La0.5O10
13938,Ni0.2La1.8O3
13939,Ni0.4La1.6O3
13940,NiLaO3
13941,Ni0.2La1.8O5
13942,Ni0.4La1.6O5
13943,NiLaO5
13944,Ni0.2La1.8O7
13945,Ni0.4La1.6O7
13946,NiLaO7
13947,Ni0.2La1.8O9
13948,Ni0.4La1.6O9
13949,NiLaO9
13950,Ni0.3La2.7O4
13951,Ni0.6La2.4O4
13952,Ni1.5La1.5O4
13953,Ni0.3La2.7O5
13954,Ni0.6La2.4O5
13955,Ni1.5La1.5O5
13956,Ni0.3La2.7O7
13957,Ni0.6La2.4O7
13958,Ni1.5La1.5O7
13959,Ni0.3La2.7O8
13960,Ni0.6La2.4O8
13961,Ni1.5La1.5O8
13962,Ni0.3La2.7O10
13963,Ni0.6La2.4O10
13964,Ni1.5La1.5O10
13965,Ni0.4La3.6O5
13966,Ni0.8La3.2O5
13967,Ni2.0La2.0O5
13968,Ni0.4La3.6O7
13969,Ni0.8La3.2O7
13970,Ni2.0La2.0O7
13971,Ni0.4La3.6O9
13972,Ni0.8La3.2O9
13973,Ni2.0La2.0O9
13974,Ni0.5La4.5O6
13975,NiLa4.0O6
13976,Ni2.5La2.5O6
13977,Ni0.5La4.5O7
13978,NiLa4.0O7
13979,Ni2.5La2.5O7
13980,Ni0.5La4.5O8
13981,NiLa4.0O8
13982,Ni2.5La2.5O8
13983,Ni0.5La4.5O9
13984,NiLa4.0O9
13985,Ni2.5La2.5O9
13986,Ni0.6La5.4O7
13987,Ni1.2La4.8O7
13988,Ni3.0La3.0O7
13989,Ni0.7La6.3O8
13990,Ni1.4La5.6O8
13991,Ni3.5La3.5O8
13992,Ni0.7La6.3O9
13993,Ni1.4La5.6O9
13994,Ni3.5La3.5O9
13995,Ni0.7La6.3O10
13996,Ni1.4La5.6O10
13997,Ni3.5La3.5O10
13998,Ni0.8La7.2O9
13999,Ni1.6La6.4O9
14000,Ni4.0La4.0O9
14001,Ni0.9La8.1O10
14002,Ni1.8La7.2O10
14003,Ni4.5La4.5O10
14004,Cr0.1Ce0.9O
14005,Cr0.2Ce0.8O
14006,Cr0.5Ce0.5O
14007,Cr0.1Ce0.9O2
14008,Cr0.2Ce0.8O2
14009,Cr0.5Ce0.5O2
